Player,Age,Seasons,Tm,Lg,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Debut_Age
Ray Allen,25,2000.01,MIL,NBA,SG,82,38.2,7.7,16.0,0.48,2.5,5.7,0.433,5.2,10.3,0.506,0.557,4.2,4.8,0.888,1.2,4.0,5.2,4.6,1.5,0.2,2.5,2.3,22.0,21
Charles Barkley,26,1989.90,PHI,NBA,SF,79,39.1,8.9,14.9,0.6,0.3,1.2,0.217,8.7,13.7,0.632,0.608,7.1,9.4,0.749,4.6,6.9,11.5,3.9,1.9,0.6,3.1,3.2,25.2,21
Larry Bird,31,1987.88,BOS,NBA,SF,76,39.0,11.6,22.0,0.527,1.3,3.1,0.414,10.3,18.9,0.546,0.556,5.5,6.0,0.916,1.4,7.8,9.3,6.1,1.6,0.8,2.8,2.1,29.9,23
Kobe Bryant,24,2002.03,LAL,NBA,SG,82,41.5,10.6,23.5,0.451,1.5,4.0,0.383,9.1,19.5,0.465,0.483,7.3,8.7,0.843,1.3,5.6,6.9,5.9,2.2,0.8,3.5,2.7,30.0,18
Maurice Cheeks,29,1985.86,PHI,NBA,PG,82,39.9,6.0,11.1,0.537,0.0,0.2,0.235,5.9,10.9,0.542,0.539,3.4,4.1,0.842,0.7,2.2,2.9,9.2,2.5,0.3,2.9,2.0,15.4,22
Vlade Divac,26,1994.95,LAL,NBA,C,80,35.1,6.1,12.0,0.507,0.1,0.7,0.189,5.9,11.3,0.525,0.512,3.7,4.8,0.777,3.3,7.1,10.4,4.1,1.4,2.2,2.6,3.8,16.0,21
Clyde Drexler,25,1987.88,POR,NBA,SG,81,37.8,10.5,20.7,0.506,0.1,0.6,0.212,10.3,20.1,0.515,0.509,5.9,7.2,0.811,3.2,3.4,6.6,5.8,2.5,0.6,2.9,3.1,27.0,21
Joe Dumars,27,1990.91,DET,NBA,SG,80,38.1,7.8,16.2,0.481,0.2,0.6,0.311,7.6,15.6,0.488,0.487,4.6,5.2,0.89,0.8,1.6,2.3,5.5,1.1,0.1,2.4,1.7,20.4,22
Tim Duncan,36,2012.13,SAS,NBA,C,69,30.1,7.1,14.1,0.502,0.0,0.1,0.286,7.1,14.0,0.504,0.503,3.6,4.3,0.817,1.8,8.1,9.9,2.7,0.7,2.7,2.1,1.7,17.8,21
Alex English,29,1982.83,DEN,NBA,SF,82,36.4,11.7,22.6,0.516,0.0,0.1,0.167,11.7,22.5,0.519,0.517,5.0,6.0,0.829,3.2,4.1,7.3,4.8,1.4,1.5,3.2,2.9,28.4,23
Patrick Ewing,27,1989.90,NYK,NBA,C,82,38.6,11.2,20.4,0.551,0.0,0.0,0.250,11.2,20.4,0.552,0.551,6.1,7.9,0.775,2.9,8.0,10.9,2.2,1.0,4.0,3.4,4.0,28.6,23
Grant Hill,24,1996.97,DET,NBA,SF,80,39.3,7.8,15.7,0.496,0.1,0.4,0.303,7.7,15.3,0.502,0.5,5.6,7.9,0.711,1.5,7.5,9.0,7.3,1.8,0.6,3.2,2.3,21.4,22
Allen Iverson,32,2007.08,DEN,NBA,SG,82,41.8,8.7,19.0,0.458,1.2,3.4,0.345,7.5,15.6,0.482,0.488,7.9,9.7,0.809,0.6,2.4,3.0,7.1,2.0,0.1,3.0,1.3,26.4,21
Magic Johnson,21,1980.81,LAL,NBA,SG,37,37.1,8.4,15.9,0.532,0.1,0.5,0.176,8.4,15.4,0.542,0.534,4.6,6.1,0.76,2.7,5.9,8.6,8.6,3.4,0.7,3.9,2.7,21.6,20
Michael Jordan,24,1987.88,CHI,NBA,SG,82,40.4,13.0,24.4,0.535,0.1,0.6,0.132,13.0,23.7,0.546,0.537,8.8,10.5,0.841,1.7,3.8,5.5,5.9,3.2,1.6,3.1,3.3,35.0,21
Jason Kidd,36,2009.10,DAL,NBA,PG,80,36.0,3.6,8.4,0.423,2.2,5.2,0.425,1.4,3.2,0.420,0.554,1.0,1.2,0.808,0.6,5.0,5.6,9.1,1.8,0.4,2.4,1.8,10.3,21
Bernard King,27,1983.84,NYK,NBA,SF,77,34.6,10.3,18.1,0.572,0.0,0.1,0.000,10.3,18.0,0.573,0.572,5.7,7.3,0.779,1.6,3.5,5.1,2.1,1.0,0.2,2.6,3.5,26.3,21
Karl Malone,33,1996.97,UTA,NBA,PF,82,36.6,10.5,19.2,0.55,0.0,0.2,0.000,10.5,19.0,0.555,0.55,6.4,8.4,0.755,2.4,7.5,9.9,4.5,1.4,0.6,2.8,2.6,27.4,22
Šarūnas Marčiulionis,28,1992.93,GSW,NBA,SF,30,27.9,5.9,10.9,0.543,0.1,0.5,0.200,5.8,10.4,0.559,0.547,5.4,7.1,0.761,1.3,1.9,3.2,3.5,1.7,0.1,2.5,3.1,17.4,25
Tracy McGrady,23,2002.03,ORL,NBA,SG,75,39.4,11.1,24.2,0.457,2.3,6.0,0.386,8.7,18.2,0.481,0.505,7.7,9.7,0.793,1.6,4.9,6.5,5.5,1.7,0.8,2.6,2.1,32.1,18
Kevin McHale,29,1986.87,BOS,NBA,PF,77,39.7,10.3,17.0,0.604,0.0,0.1,0.000,10.3,16.9,0.606,0.604,5.6,6.6,0.836,3.2,6.7,9.9,2.6,0.5,2.2,2.6,3.1,26.1,23
Reggie Miller,25,1990.91,IND,NBA,SG,82,36.2,7.3,14.2,0.512,1.4,3.9,0.348,5.9,10.3,0.575,0.56,6.7,7.3,0.918,1.0,2.4,3.4,4.0,1.3,0.2,2.0,2.0,22.6,22
Yao Ming,28,2008.09,HOU,NBA,C,77,33.6,7.4,13.4,0.548,0.0,0.0,1.000,7.3,13.4,0.548,0.549,4.9,5.7,0.866,2.6,7.2,9.9,1.8,0.4,1.9,3.0,3.3,19.7,22
Sidney Moncrief,24,1981.82,MIL,NBA,SG,80,37.3,7.0,13.3,0.523,0.0,0.2,0.071,6.9,13.1,0.529,0.524,5.9,7.2,0.817,2.8,3.9,6.7,4.8,1.7,0.3,2.6,2.6,19.8,22
Alonzo Mourning,29,1999.00,MIA,NBA,C,79,34.8,8.3,15.0,0.551,0.0,0.1,0.000,8.3,14.9,0.553,0.551,5.2,7.4,0.711,2.7,6.8,9.5,1.6,0.5,3.7,2.7,3.9,21.7,22
Chris Mullin,27,1990.91,GSW,NBA,SF,82,40.4,9.5,17.7,0.536,0.5,1.6,0.301,9.0,16.0,0.560,0.55,6.3,7.1,0.884,1.7,3.7,5.4,4.0,2.1,0.8,3.0,2.1,25.7,22
Dikembe Mutombo,33,1999.00,ATL,NBA,C,82,36.4,3.9,7.0,0.562,0.0,0.0,0.000,3.9,7.0,0.562,0.562,3.6,5.1,0.708,3.7,10.4,14.1,1.3,0.3,3.3,2.1,3.0,11.5,25
Steve Nash,32,2006.07,PHO,NBA,PG,76,35.3,6.8,12.8,0.532,2.1,4.5,0.455,4.8,8.3,0.575,0.613,2.9,3.3,0.899,0.4,3.1,3.5,11.6,0.8,0.1,3.8,1.5,18.6,22
Shaquille O'Neal,21,1993.94,ORL,NBA,C,81,39.8,11.8,19.6,0.599,0.0,0.0,0.000,11.8,19.6,0.600,0.599,5.8,10.5,0.554,4.7,8.5,13.2,2.4,0.9,2.9,2.7,3.5,29.3,20
Hakeem Olajuwon,30,1992.93,HOU,NBA,C,82,39.5,10.3,19.5,0.529,0.0,0.1,0.000,10.3,19.5,0.532,0.529,5.4,7.0,0.779,3.5,9.6,13.0,3.5,1.8,4.2,3.2,3.7,26.1,22
Robert Parish,35,1988.89,BOS,NBA,C,80,35.5,7.5,13.1,0.57,0.0,0.0,0.000,7.5,13.1,0.570,0.57,3.7,5.1,0.719,4.3,8.2,12.5,2.2,1.0,1.5,2.5,2.6,18.6,23
Gary Payton,31,1999.00,SEA,NBA,PG,82,41.8,9.1,20.3,0.448,2.2,6.3,0.340,7.0,14.0,0.497,0.502,3.8,5.2,0.735,1.2,5.2,6.5,8.9,1.9,0.2,2.7,2.2,24.2,22
Dražen Petrović,28,1992.93,NJN,NBA,SG,70,38.0,8.4,16.2,0.518,1.1,2.4,0.449,7.3,13.8,0.529,0.551,4.5,5.2,0.87,0.6,2.1,2.7,3.5,1.3,0.2,2.9,3.4,22.3,25
Scottie Pippen,29,1994.95,CHI,NBA,SF,79,38.2,8.0,16.7,0.48,1.4,4.0,0.345,6.6,12.7,0.523,0.522,4.0,5.6,0.716,2.2,5.9,8.1,5.2,2.9,1.1,3.4,3.0,21.4,22
Dino Radja,28,1995.96,BOS,NBA,PF,53,37.4,8.0,16.1,0.5,0.0,0.0,0.000,8.0,16.1,0.500,0.5,3.6,5.2,0.695,2.1,7.7,9.8,1.6,0.9,1.5,2.2,3.0,19.7,26
Mitch Richmond,31,1996.97,SAC,NBA,SG,81,38.6,8.9,19.5,0.454,2.5,5.9,0.428,6.3,13.6,0.466,0.519,5.6,6.6,0.861,0.7,3.2,3.9,4.2,1.5,0.3,2.9,2.6,25.9,23
David Robinson,26,1991.92,SAS,NBA,C,68,37.7,8.7,15.8,0.551,0.0,0.1,0.125,8.7,15.7,0.554,0.552,5.8,8.3,0.701,3.8,8.4,12.2,2.7,2.3,4.5,2.7,3.2,23.2,24
Dennis Rodman,30,1991.92,DET,NBA,PF,82,40.3,4.2,7.7,0.539,0.4,1.2,0.317,3.8,6.5,0.581,0.564,1.0,1.7,0.6,6.4,12.3,18.7,2.3,0.8,0.9,1.7,3.0,9.8,25
Arvydas Sabonis,31,1995.96,POR,NBA,C,73,23.8,5.4,9.9,0.545,0.5,1.4,0.375,4.9,8.5,0.574,0.572,3.2,4.2,0.757,2.0,6.0,8.1,1.8,0.9,1.1,2.1,2.9,14.5,31
Ralph Sampson,23,1983.84,HOU,NBA,C,82,32.8,8.7,16.7,0.523,0.0,0.0,0.250,8.7,16.6,0.524,0.523,3.5,5.3,0.661,3.6,7.6,11.1,2.0,0.9,2.4,3.6,4.1,21.0,23
Jack Sikma,26,1981.82,SEA,NBA,C,82,37.2,7.1,14.8,0.479,0.0,0.2,0.154,7.1,14.6,0.483,0.48,5.5,6.4,0.855,2.7,9.9,12.7,3.4,1.2,1.3,2.6,3.3,19.6,22
John Stockton,25,1987.88,UTA,NBA,PG,82,34.7,5.5,9.6,0.574,0.3,0.8,0.358,5.2,8.8,0.594,0.589,3.3,4.0,0.84,0.7,2.2,2.9,13.8,3.0,0.2,3.2,3.0,14.7,22
